# Time-averaged data for fix energy_flux
# TimeStep f_11 f_12
230000 -2.92039 4.75595
231000 -2.59574 4.23855
232000 -2.98162 4.35226
233000 -2.16912 4.37188
234000 -1.74258 3.46881
235000 -1.34034 2.62989
236000 -1.17993 2.92442
237000 -0.638632 3.70817
238000 0.231383 3.69056
239000 -1.23198 3.5319
240000 -0.806115 3.13729
241000 -1.78561 3.90846
242000 -2.96245 3.40475
243000 -2.11472 3.41509
244000 -2.14473 3.64924
245000 -2.48595 3.49381
246000 -1.60557 2.53145
247000 -0.965097 2.28231
248000 -1.83287 2.34643
249000 -2.00274 3.03346
250000 -1.5729 2.43831
251000 -1.92453 2.70477
252000 -1.88818 2.75513
253000 -1.56776 1.89286
254000 -1.34002 1.70919
255000 -1.02034 2.48958
256000 -0.995809 2.3372
257000 -0.0264321 3.07368
258000 0.648871 2.85484
259000 0.0346064 2.7052
260000 -0.854731 2.26357
261000 -1.23737 1.79067
262000 -1.14846 1.02418
263000 -0.203375 0.920065
264000 0.303887 0.453511
265000 -0.264071 0.0301123
266000 -0.438868 0.347332
267000 -0.580028 0.587093
268000 -0.647558 0.0554146
269000 -0.695013 0.51833
270000 -0.318818 0.535917
271000 -0.968636 -0.283765
272000 -1.15851 0.348316
273000 -0.359005 0.211798
274000 -0.7856 0.452845
275000 -1.11686 1.32498
276000 -0.99086 2.31077
277000 -1.27225 2.70072
278000 -1.53531 1.92715
279000 -1.72917 1.93738
280000 -1.71513 3.2168
281000 -1.67213 2.88202
282000 -1.76978 2.86591
283000 -2.20864 2.8913
284000 -1.33621 1.95784
285000 -1.50838 1.87836
286000 -2.07064 1.63262
287000 -2.04546 2.02268
288000 -2.6167 1.84788
289000 -2.13949 1.74701
290000 -2.19316 2.48808
291000 -2.41401 2.99784
292000 -2.53797 3.46457
293000 -2.28047 4.46059
294000 -2.44121 4.78984
295000 -2.98999 3.7205
296000 -3.15921 3.89531
297000 -2.80133 4.91612
298000 -3.36407 5.07083
299000 -3.10789 5.69891
300000 -2.91023 4.74813
301000 -3.15089 5.344
302000 -3.29897 5.35722
303000 -2.93079 5.62771
304000 -2.73651 6.30605
305000 -2.31539 6.40476
306000 -2.37364 5.35857
307000 -2.96743 6.89261
308000 -3.32377 6.19672
309000 -3.20738 5.01697
310000 -2.91527 4.43529
311000 -3.46846 3.78571
312000 -3.66913 4.26716
313000 -3.84949 4.55542
314000 -3.92187 5.62061
315000 -3.28952 6.57025
316000 -3.34802 6.82733
317000 -4.19108 5.53682
318000 -4.37738 5.5794
319000 -4.03369 5.76017
320000 -5.12157 5.50464
321000 -5.51026 5.41446
322000 -4.78513 6.81653
323000 -4.95342 7.01809
324000 -4.63399 6.90817
325000 -4.56104 6.35074
326000 -5.63615 6.10181
327000 -5.11469 5.88172
328000 -4.57799 4.92262
329000 -4.6562 5.77761
330000 -5.32591 6.75616
331000 -5.3702 6.95671
332000 -6.09317 6.39112
333000 -6.19891 6.31651
334000 -5.66826 7.21136
335000 -4.35456 8.23193
336000 -4.10133 8.4642
337000 -4.29291 8.79083
338000 -4.77821 8.61053
339000 -5.07894 8.193
340000 -4.66548 8.14423
341000 -4.41465 8.71895
342000 -4.3161 9.49856
343000 -4.00398 9.44311
344000 -3.85599 9.17315
345000 -4.07933 8.9574
346000 -3.60837 9.00477
347000 -4.64364 8.55649
348000 -4.44965 9.32842
349000 -4.97989 9.67265
350000 -5.37465 9.59345
351000 -6.13256 9.23078
352000 -6.46915 9.49251
353000 -5.21733 9.80316
354000 -5.78311 9.58409
355000 -5.35308 9.48263
356000 -5.74087 9.2729
357000 -4.63342 9.00804
358000 -4.69128 7.72906
359000 -5.04336 7.96046
360000 -4.15955 9.11108
361000 -4.82783 9.82016
362000 -4.84004 10.6147
363000 -5.25543 10.8784
364000 -4.37649 11.8513
365000 -4.43291 10.4194
366000 -4.23669 9.65698
367000 -3.55367 8.39443
368000 -3.35306 8.37576
369000 -3.23579 8.77654
370000 -3.33501 9.35193
371000 -4.3485 9.21568
372000 -4.50948 8.35611
373000 -4.05405 8.52984
374000 -3.73904 8.13247
375000 -4.46701 7.68644
376000 -4.47753 7.80377
377000 -5.14179 7.22171
378000 -5.10115 7.3636
379000 -5.19792 6.76376
380000 -5.16937 6.7816
381000 -4.83866 6.90352
382000 -5.33802 7.37474
383000 -4.78821 8.01443
384000 -5.1939 8.06383
385000 -5.34547 8.13582
386000 -5.01453 8.47187
387000 -4.43515 7.90459
388000 -3.97659 7.41076
389000 -4.6792 6.8804
390000 -4.76359 7.66548
391000 -4.57441 7.58037
392000 -4.51919 7.1305
393000 -4.50957 7.25161
394000 -4.82115 7.00517
395000 -4.70016 7.3506
396000 -4.35644 6.73503
397000 -5.71342 5.96152
398000 -5.97061 6.10156
399000 -5.0778 4.82602
400000 -4.8765 4.74401
401000 -5.27396 4.97247
402000 -5.4336 3.79382
403000 -5.12264 4.24405
404000 -4.75188 3.55833
405000 -5.28344 3.45621
406000 -5.43544 3.9007
407000 -5.39178 4.6724
408000 -5.46635 5.06788
409000 -5.14456 5.13558
410000 -5.3445 5.40671
411000 -4.07902 4.62312
412000 -4.44905 4.87028
413000 -3.93908 4.32338
414000 -3.21438 4.20426
415000 -3.39431 3.48289
416000 -4.65352 3.50361
417000 -4.72073 4.92476
418000 -4.32073 5.64644
419000 -5.19969 5.35769
420000 -5.08416 5.89182
421000 -4.06317 6.37479
422000 -4.07302 5.9517
423000 -3.62048 5.64333
424000 -3.69884 5.85851
425000 -4.30273 6.03616
426000 -4.08434 6.26262
427000 -4.32802 4.92254
428000 -4.40544 3.95306
429000 -4.09126 3.40363
430000 -5.027 3.05101
431000 -4.93334 2.80849
432000 -5.27254 3.36779
433000 -5.77011 4.18345
434000 -5.72396 5.07366
