# LAMMPS data file written by OVITO Basic 3.7.12
2152 atoms
2 atom types
0.0 15.1619691849 xlo xhi
0.0 7.5809845924 ylo yhi
0.0 184.087200 zlo zhi 

Masses
 
1 12.0107  # C
2 91.224  # Zr

 
Atoms  # atomic

1	1	15.139178	1.163627	0.686993
2	1	15.158315	7.570965	1.679469
3	1	1.238223	7.543523	2.520978
4	1	2.497137	1.205886	0.657344
5	1	2.520391	7.569403	1.660296
6	1	3.795814	7.568914	2.505447
7	1	5.042972	1.158999	0.672458
8	1	5.058372	7.541547	1.678665
9	1	6.338919	0.001936	2.505596
10	1	7.584808	1.202660	0.676851
11	1	7.600659	7.580201	1.666188
12	1	8.834619	7.572908	2.485893
13	1	10.159976	1.194785	0.610811
14	1	10.135174	0.003735	1.587925
15	1	11.414735	7.563906	2.474574
16	1	12.650981	1.217159	0.650343
17	1	12.660764	0.011810	1.652129
18	1	13.947890	7.567230	2.522869
19	1	0.052234	3.786061	0.448464
20	1	0.018645	2.497114	1.482977
21	1	1.341825	2.501668	2.403166
22	1	2.533028	3.819574	0.558654
23	1	2.582700	2.508575	1.489502
24	1	3.849846	2.509187	2.364798
25	1	5.075907	3.813847	0.507479
26	1	5.060299	2.508023	1.442304
27	1	6.348720	2.558703	2.376199
28	1	7.554702	3.834360	0.489750
29	1	7.613748	2.520330	1.479853
30	1	8.890759	2.489178	2.398782
31	1	10.092658	3.803523	0.636827
32	1	10.123208	2.488815	1.526433
33	1	11.406326	2.520989	2.425748
34	1	12.611530	3.780344	0.551780
35	1	12.640885	2.521388	1.502130
36	1	13.914614	2.562056	2.439885
37	1	15.151018	6.373808	0.709375
38	1	0.025426	5.049911	1.481221
39	1	1.292412	5.050412	2.404997
40	1	2.554240	6.446918	0.700065
41	1	2.594027	5.124623	1.463973
42	1	3.848181	5.064499	2.372780
43	1	5.067799	6.408889	0.676017
44	1	5.099750	5.061138	1.458343
45	1	6.319455	5.059282	2.401617
46	1	7.604083	6.447200	0.656984
47	1	7.596859	5.100313	1.513645
48	1	8.914262	5.041925	2.423681
49	1	10.171518	6.412383	0.695986
50	1	10.142207	5.065886	1.508443
51	1	11.429346	5.077189	2.439613
52	1	12.668459	6.401578	0.691315
53	1	12.660762	5.080968	1.492918
54	1	13.947544	5.002125	2.429844
55	1	0.043943	1.244356	4.314351
56	1	0.062652	7.533765	5.223961
57	1	1.341702	7.517109	6.092449
58	1	1.281010	1.214185	3.405057
59	1	2.606345	1.226109	4.295111
60	1	2.607729	7.545389	5.209461
61	1	3.880542	7.515632	6.025877
62	1	3.838863	1.303256	3.399369
63	1	5.094531	1.224628	4.261861
64	1	5.099416	7.520653	5.146507
65	1	6.376992	7.519289	6.092717
66	1	6.361119	1.271393	3.369436
67	1	7.632875	1.212329	4.268531
68	1	7.620476	7.497856	5.229746
69	1	8.904443	7.488635	6.105352
70	1	8.884704	1.248991	3.372063
71	1	10.162332	1.206067	4.281218
72	1	10.162610	7.529843	5.174740
73	1	11.417751	7.521145	6.087122
74	1	11.385327	1.217177	3.394886
75	1	12.672220	1.187671	4.340826
76	1	12.720810	7.556247	5.221517
77	1	13.943140	7.549972	6.095720
78	1	13.959229	1.223675	3.441205
79	1	0.045015	3.711625	4.248685
80	1	0.049770	2.463448	5.177271
81	1	1.283253	2.445613	6.065009
82	1	1.358710	3.743906	3.359197
83	1	2.617741	3.743321	4.252902
84	1	2.595864	2.479009	5.178075
85	1	3.837473	2.455061	6.073809
86	1	3.886229	3.747767	3.320898
87	1	5.073088	3.739589	4.250659
88	1	5.086408	2.467749	5.155930
89	1	6.368556	2.451777	6.025411
90	1	6.331665	3.796865	3.354378
91	1	7.659124	3.751366	4.254880
92	1	7.647872	2.449659	5.124566
93	1	8.905362	2.396014	6.039909
94	1	8.939268	3.756133	3.351979
95	1	10.199851	3.728810	4.297199
96	1	10.189870	2.420477	5.151984
